"type","count_1","rate_1","count_2","rate_2","count_3","rate_3","count_4","rate_4","count_5","rate_5","count_6","rate_6","count_7","rate_7","count_8","rate_8","count_9","rate_9","count_10","rate_10","count_11","rate_11","count_12","rate_12","count_13","rate_13","count_14","rate_14","count_15","rate_15","count_16","rate_16"
"KN_1","0","0","0","0","17","0.000974658869395711","28","0.00160532049076941","16","0.00107245793954018","4","0.000436728900534993","1","0.000327868852459016","1","0.000880281690140845","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SV_1","0","0","0","0","7","0.000401330122692352","17","0.000974658869395711","11","0.000737314833433876","2","0.000218364450267496","1","0.000327868852459016","1","0.000880281690140845","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives","True Negatives"
"FF_0","5681","0.376549347120037","5153","0.341552329820375","4850","0.32146881421091","4392","0.291111552992643","3271","0.216809173460595","1708","0.113217552697866","3740","0.26195979547524","1570","0.277189265536723","534","0.264356435643564","195","0.263870094722598","54","0.222222222222222","17","0.166666666666667","15","0.340909090909091","5","0.625","0","0","0","0"
"SI_0","3053","0.202359647378538","2712","0.179757407039173","2208","0.146351163253132","1945","0.128918936833035","1488","0.0986279578445019","869","0.0576030756993239","1841","0.128948658681796","785","0.138594632768362","263","0.13019801980198","84","0.113667117726658","14","0.0576131687242798","18","0.176470588235294","8","0.181818181818182","1","0.125","0","0","0","0"
"CH_0","1072","0.0710545502750713","1988","0.131769072711606","2104","0.139457811360774","1729","0.114601975210446","1181","0.0782793133161","1189","0.0788147951743338","1273","0.0891643902780696","529","0.0933968926553672","191","0.0945544554455446","86","0.11637347767253","22","0.0905349794238683","7","0.0686274509803922","4","0.0909090909090909","1","0.125","0","0","0","0"
"SL_0","2097","0.138993835752635","2198","0.14568834095579","2057","0.136342546563266","2022","0.134022668522569","1459","0.0967057731822099","1083","0.0717884130982368","1533","0.107375499054423","578","0.10204802259887","195","0.0965346534653465","66","0.0893098782138024","40","0.164609053497942","12","0.117647058823529","4","0.0909090909090909","0","0","0","0","0","0"
"CU_0","1537","0.101875787101478","1134","0.0751640485185922","1242","0.0823225293298867","975","0.064625173990853","810","0.0536886060847087","684","0.0453400503778338","671","0.0469986691882048","265","0.0467867231638418","91","0.045049504950495","35","0.047361299052774","7","0.0288065843621399","3","0.0294117647058824","2","0.0454545454545455","1","0.125","0","0","0","0"
"FC_0","895","0.0593225956121164","1106","0.0733081460860343","954","0.0632332471664347","757","0.0501756479087957","633","0.0419566514217538","387","0.0256529232400902","755","0.0528822581774883","238","0.0420197740112994","70","0.0346534653465347","31","0.0419485791610284","12","0.0493827160493827","3","0.0294117647058824","2","0.0454545454545455","0","0","0","0","0","0"
"FF_1","0","0","0","0","415","0.0275071253396964","972","0.0644263273016504","2153","0.14270564061775","3676","0.243669627469177","1714","0.120053232471808","636","0.11228813559322","267","0.132178217821782","84","0.113667117726658","39","0.160493827160494","17","0.166666666666667","2","0.0454545454545455","0","0","0","0","0","0"
"KC_0","453","0.0300258500695963","390","0.0258500695963412","400","0.0265128918936833","331","0.0219394180420229","280","0.0185590243255783","170","0.011268725971099","256","0.017930937872102","74","0.0130649717514124","41","0.0202970297029703","16","0.0216508795669824","1","0.00411522633744856","0","0","0","0","0","0","0","0","0","0"
"FS_0","136","0.00901438324385232","251","0.0166368396632863","250","0.0165705574335521","258","0.0171008152714257","181","0.0119970835818917","129","0.00855097441336338","154","0.0107865798136863","61","0.0107697740112994","19","0.00940594059405941","10","0.013531799729364","1","0.00411522633744856","0","0","2","0.0454545454545455","0","0","0","0","0","0"
"SI_1","0","0","0","0","105","0.00695963412209187","360","0.023861602704315","926","0.0613773447338768","1570","0.104069998674268","691","0.0483995237094628","248","0.0437853107344633","99","0.049009900990099","38","0.0514208389715832","11","0.0452674897119342","4","0.0392156862745098","1","0.0227272727272727","0","0","0","0","0","0"
"ST_0","113","0.00748989195996553","115","0.00762245641943395","98","0.00649565851395241","97","0.0064293762842182","65","0.00430834493272354","49","0.0032480445446109","61","0.0042726062898368","24","0.00423728813559322","10","0.00495049504950495","4","0.0054127198917456","3","0.0123456790123457","0","0","0","0","0","0","0","0","0","0"
"SL_1","0","0","0","0","97","0.0064293762842182","434","0.0287664877046464","923","0.0611784980446742","1284","0.0851120243934774","592","0.0414652938292358","204","0.0360169491525424","77","0.0381188118811881","41","0.0554803788903924","13","0.0534979423868313","11","0.107843137254902","1","0.0227272727272727","0","0","0","0","0","0"
"CU_1","0","0","0","0","94","0.00623052959501558","236","0.0156426062172732","462","0.0306223901372042","490","0.032480445446109","182","0.0127477761434475","84","0.0148305084745763","36","0.0178217821782178","13","0.0175913396481732","3","0.0123456790123457","3","0.0294117647058824","1","0.0227272727272727","0","0","0","0","0","0"
"CH_1","0","0","0","0","75","0.00497116723006562","227","0.0150460661496653","596","0.0395042089215881","824","0.0546201776481506","387","0.0271065349863417","177","0.03125","68","0.0336633663366337","23","0.0311231393775372","11","0.0452674897119342","4","0.0392156862745098","2","0.0454545454545455","0","0","0","0","0","0"
"FC_1","0","0","0","0","47","0.00311526479750779","152","0.0100748989195997","318","0.0210777490554782","580","0.0384462415484555","239","0.0167402115290327","125","0.022069209039548","33","0.0163366336633663","5","0.006765899864682","4","0.0164609053497942","1","0.00980392156862745","0","0","0","0","0","0","0","0"
"KC_1","0","0","0","0","26","0.00172333797308941","75","0.00497116723006562","148","0.00980977000066282","169","0.0112024393477396","69","0.00483294809833999","18","0.00317796610169492","14","0.00693069306930693","2","0.0027063599458728","2","0.00823045267489712","0","0","0","0","0","0","0","0","0","0"
"KN_0","26","0.00172333797308941","22","0.00145820905415258","24","0.001590773513621","25","0.00165705574335521","11","0.000729104527076291","8","0.000530292986875249","19","0.00133081179519507","5","0.000882768361581921","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FS_1","0","0","0","0","19","0.00125936236494996","45","0.00298270033803937","99","0.00656194074368662","127","0.00841840116664457","61","0.0042726062898368","26","0.00459039548022599","5","0.00247524752475248","5","0.006765899864682","5","0.0205761316872428","1","0.00980392156862745","0","0","0","0","0","0","0","0"
"SV_0","24","0.001590773513621","18","0.00119308013521575","12","0.000795386756810499","16","0.00106051567574733","8","0.000530257837873666","6","0.000397719740156436","8","0.000560341808503187","4","0.000706214689265537","1","0.000495049504950495","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ST_1","0","0","0","0","9","0.000596540067607874","37","0.00245244250016571","56","0.00371180486511566","62","0.00410977064828318","19","0.00133081179519507","10","0.00176553672316384","5","0.00247524752475248","1","0.0013531799729364","1","0.00411522633744856","1","0.00980392156862745","0","0","0","0","0","0","0","0"
"SV_1","0","0","0","0","1","6.62822297342083e-05","0","0","9","0.000596540067607874","11","0.000729152856953467","8","0.000560341808503187","1","0.000176553672316384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KN_1","0","0","0","0","0","0","2","0.000132564459468417","10","0.000662822297342083","11","0.000729152856953467","4","0.000280170904251593","2","0.000353107344632768","1","0.000495049504950495","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives","False Positives"
"FF_0","4108","0.378652410360402","3768","0.34731311641626","2497","0.230159461701539","1704","0.157065167296525","1415","0.151013874066169","1305","0.220215997300034","410","0.198836081474297","161","0.190984578884935","81","0.197560975609756","36","0.177339901477833","19","0.253333333333333","11","0.379310344827586","0","0","0","0","0","0","0","0"
"FF_1","0","0","0","0","1485","0.136878975020739","2119","0.195317540787169","1535","0.163820704375667","568","0.0958488018899764","210","0.10184287099903","109","0.129300118623962","71","0.173170731707317","28","0.137931034482759","9","0.12","1","0.0344827586206897","1","0.25","1","0.5","0","0","0","0"
"SL_0","1473","0.135772882293299","1726","0.159093003963499","1369","0.12618674532215","1068","0.0984422527421882","1116","0.119103521878335","862","0.145460681741478","269","0.130455868089234","70","0.0830367734282325","50","0.121951219512195","12","0.0591133004926108","5","0.0666666666666667","1","0.0344827586206897","0","0","0","0","0","0","0","0"
"SI_0","2088","0.192460134574615","1797","0.165637385934187","1160","0.106922296985897","819","0.0754908286478016","727","0.0775880469583778","766","0.129260884238947","235","0.113967022308438","92","0.109134045077106","24","0.0585365853658537","16","0.0788177339901478","2","0.0266666666666667","2","0.0689655172413793","0","0","0","0","0","0","0","0"
"CH_0","853","0.0786247580422159","1350","0.124435431837036","768","0.0707899345561803","512","0.0471932897041202","634","0.0676627534685165","441","0.0744178197772528","206","0.0999030067895247","68","0.0806642941874259","32","0.0780487804878049","28","0.137931034482759","16","0.213333333333333","5","0.172413793103448","1","0.25","0","0","1","1","0","0"
"SL_1","0","0","0","0","603","0.0555811595538759","967","0.0891326389528989","717","0.0765208110992529","252","0.0425244684441444","106","0.0514064015518914","43","0.0510083036773428","14","0.0341463414634146","8","0.0394088669950739","0","0","0","0","0","0","0","0","0","0","0","0"
"CU_0","1085","0.100009217439395","814","0.0750299566780348","584","0.0538298460687621","502","0.0462715457645866","539","0.0575240128068303","365","0.0615929800877489","105","0.050921435499515","47","0.0557532621589561","27","0.0658536585365854","7","0.0344827586206897","9","0.12","4","0.137931034482759","1","0.25","0","0","0","0","0","0"
"FC_0","707","0.0651672965250253","784","0.0722647248594341","522","0.0481150336436538","353","0.032537561065536","314","0.0335112059765208","251","0.0423557205534931","98","0.0475266731328807","48","0.0569395017793594","17","0.0414634146341463","20","0.0985221674876847","5","0.0666666666666667","2","0.0689655172413793","0","0","1","0.5","0","0","0","0"
"SI_1","0","0","0","0","409","0.0376993271269241","713","0.0657203428887455","515","0.0549626467449306","209","0.0352683091461357","94","0.0455868089233754","38","0.0450771055753262","23","0.0560975609756098","6","0.0295566502463054","0","0","0","0","1","0.25","0","0","0","0","0","0"
"CU_1","0","0","0","0","287","0.0264540510646143","455","0.0419393492487787","388","0.0414087513340448","121","0.0204184947688154","57","0.027643064985451","34","0.0403321470937129","4","0.00975609756097561","2","0.00985221674876847","5","0.0666666666666667","0","0","0","0","0","0","0","0","0","0"
"CH_1","0","0","0","0","280","0.0258088303069407","572","0.0527237533413218","540","0.0576307363927428","211","0.0356058049274384","77","0.0373423860329777","44","0.0521945432977461","19","0.0463414634146341","10","0.0492610837438424","2","0.0266666666666667","2","0.0689655172413793","0","0","0","0","0","0","0","0"
"KC_0","319","0.0294036316711218","309","0.0284818877315882","215","0.0198174946999723","200","0.0184348787906719","215","0.0229455709711846","166","0.0280121498481269","48","0.023278370514064","27","0.0320284697508897","1","0.0024390243902439","3","0.0147783251231527","0","0","0","0","0","0","0","0","0","0","0","0"
